"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Weakly Supervised Grounding for VQA in Vision-Language Transformers","2","3","3","2","1","2","13","5","QP1,QP3,QP5,QP6,QP7"
"LST: Ladder Side-Tuning for Parameter and Memory Efficient Transfer Learning","2","3","3","2","1","2","13","3","QP1,QP6,QP7"
"Multimodal Adaptive Distillation for Leveraging Unimodal Encoders for VL Tasks","2","2","3","1","0","2","10","4","QP1,QP3,QP6,QP7"
"Chop Chop BERT: VQA by Chopping VisualBERT Heads","1","2","3","2","0","1","9","4","QP1,QP5,QP6,QP7"
"Florence-VL: Enhancing VLMs with Generative Vision Encoder","0","1","3","2","1","1","8","4","QP1,QP6,QP7,QS1"
"ABC: Achieving Better Control of Multimodal Embeddings using VLMs","1","1","2","1","1","1","7","5","QP1,QP6,QP7,QS1,QS2"
"One VLM to Keep it Learning: Data-free Continual VQA (GaB)","2","2","2","2","1","2","11","6","QP1,QP3,QP6,QP7,QS1,QS3"
"Veagle: Advancements in Multimodal Representation Learning","0","1","2","1","1","1","6","4","QP1,QP6,QP7,QS1"
"Lumen: Unleashing Versatile Vision-Centric Capabilities of LMMs","0","2","3","2","0","1","8","4","QP1,QP5,QP6,QP7"
"MISS: A Generative Pretraining and Finetuning Approach for Med-VQA","2","2","2","2","1","2","11","7","QP1,QP3,QP6,QP7,QS1,QS3,QS4"
"An Empirical Study of Training End-to-End Vision-and-Language Transformers (METER)","0","2","3","1","1","1","8","5","QP1,QP5,QP6,QP7,QS1"
"Surgical-VQLA++: Adversarial Contrastive Learning for Robotic Surgery VQA","1","2","2","2","1","2","10","5","QP1,QP5,QP7,QS2,QS4"
"Surgical-LVLM: Adapting Large VLM for Grounded VQA in Robotic Surgery","0","1","2","2","0","1","6","4","QP1,QP5,QS3,QS4"
"Foundational Model for Electron Micrograph Analysis (MAEMI)","1","1","2","1","0","1","6","4","QP1,QP6,QS2,QS3"
"Towards a Multimodal LLM with Pixel-Level Insight for Biomedicine (MedPLIB)","1","2","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS4"
"Design as Desired: Utilizing VQA for Multimodal Pre-training","1","2","2","2","1","2","10","5","QP1,QP3,QP6,QP7,QS1"
"Few-shot Multimodal Multitask Multilingual Learning (FM3)","2","2","2","1","0","1","8","5","QP1,QP3,QP4,QP7,QS3"
"Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone (FIBER)","0","2","3","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"Self-supervised vision-language pretraining for Medical VQA (M2I2)","2","2","3","2","1","2","12","7","QP1,QP3,QP6,QP7,QS1,QS2,QS4"
"PA-LLaVA: Language-Vision Assistant for Human Pathology Understanding","1","1","2","2","1","1","8","5","QP1,QP6,QS1,QS2,QS4"
"Cross-Modality Relevance for Reasoning on Language and Vision","0","2","2","1","0","1","6","4","QP1,QP2,QP7,QS3"
"MuKEA: Multimodal Knowledge Extraction and Accumulation for KB-VQA","0","2","3","2","1","2","10","4","QP1,QP6,QP7,QS1"
"Efficient Vision-Language Pretraining with Visual Concepts and Hierarchical Alignment (ViCHA)","2","2","3","2","1","2","12","6","QP1,QP3,QP6,QP7,QS1,QS2"
"SelfGraphVQA: Self-Supervised Graph Neural Network for Scene-based VQA","2","2","2","2","0","1","9","6","QP1,QP2,QP3,QP5,QP7,QS3"
"Masked Vision and Language Pre-training for Medical VQA (MUMC)","2","2","3","2","1","2","12","7","QP1,QP3,QP6,QP7,QS1,QS2,QS4"
"MLP Architectures for Vision-and-Language Modeling: An Empirical Study","0","1","3","2","1","1","8","4","QP1,QP6,QP7,QS1"
"Uni-Mlip: Unified Self-supervision for Medical Vision Language Pre-training","2","3","2","1","0","2","10","7","QP1,QP3,QP6,QP7,QS2,QS3,QS4"
"ELIP: Efficient Language-Image Pre-training with Fewer Vision Tokens","1","2","3","2","1","1","10","4","QP1,QP7,QS1,QS2"
"Florence: A New Foundation Model for Computer Vision","0","3","3","2","0","2","10","3","QP1,QP6,QP7"
"ALBEF: Align before Fuse Vision and Language Representation Learning","2","3","3","2","1","2","13","6","QP1,QP3,QP6,QP7,QS1,QS2"
"CoCa: Contrastive Captioners are Image-Text Foundation Models","2","2","3","1","0","2","10","3","QP1,QP7,QS2"
"SimVLM: Simple Visual Language Model Pretraining with Weak Supervision","2","2","3","1","0","2","10","3","QP1,QP7,QS2"
"MaMMUT: A Simple Architecture for Joint Learning for MultiModal Tasks","0","2","2","2","0","1","7","3","QP1,QP7,QS2"
"MMBERT: Multimodal BERT Pretraining for Improved Medical VQA","2","2","2","2","1","1","10","8","QP1,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
"Barlow constrained optimization for Visual Question Answering","0","3","3","2","0","1","9","2","QP1,QP7"
"Question Aware Vision Transformer for Multimodal Reasoning","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"Unsupervised Vision-and-Language Pre-training via Retrieval-based Multi-Granular Alignment","2","3","2","2","0","2","11","6","QP1,QP3,QP6,QP7,QS2,QS3"
"A Novel Attention-based Aggregation Function to Combine Vision and Language","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Multi-Modal Instruction-Tuning for Semiconductor Electron Micrograph Analysis","2","2","1","1","0","1","7","4","QP1,QP6,QP7,QS3"
